area_id,area_name,subsection_id,subsection_name,item_number,description,tier
1,External Deck Structure,1,External Deck Structure,1,"Decks clean, clear of oil, grease and non-slippery",BASELINE
1,External Deck Structure,1,External Deck Structure,2,Lighting in full working order,BASELINE
1,External Deck Structure,1,External Deck Structure,3,Stairwell properly lit,BASELINE
1,External Deck Structure,1,External Deck Structure,4,Tripping hazards highlighted,BASELINE
1,External Deck Structure,1,External Deck Structure,5,Obstructions at head height highlighted,BASELINE
1,External Deck Structure,1,External Deck Structure,6,"Stairways, ladders and hand holds in good condition",BASELINE
1,External Deck Structure,1,External Deck Structure,7,Steps in good order with non-skid material if required,BASELINE
1,External Deck Structure,1,External Deck Structure,8,Continuous hand rails around all decks and these in good condition ,BASELINE
1,External Deck Structure,1,External Deck Structure,9,"All entrances to Machinery spaces, CH, Motor Room, and enclosed spaces identified with the
proper signage in place",BASELINE
1,External Deck Structure,1,External Deck Structure,10,All doors fitted with adequate securing arrangements when opened and closed,BASELINE
1,External Deck Structure,1,External Deck Structure,11,All entrances / exits clear of obstructions,BASELINE
1,External Deck Structure,1,External Deck Structure,12,Procedures in place for restricting access to deck in heavy weather,BASELINE
1,External Deck Structure,1,External Deck Structure,13,Access to all LSA/FFA equipment clear,BASELINE
1,External Deck Structure,1,External Deck Structure,14,All gratings where used securely fitted,BASELINE
1,External Deck Structure,1,External Deck Structure,15,All items adequately secured to safe locations,BASELINE
1,External Deck Structure,1,External Deck Structure,16,Any stream / exhaust pipes lagged or guarded,BASELINE
1,External Deck Structure,1,External Deck Structure,17,Fire flaps and vents marked and close easily,BASELINE
1,External Deck Structure,1,External Deck Structure,18,Correct PPE for all work on deck freely available ,BASELINE
1,External Deck Structure,1,External Deck Structure,19,Cold and heavy weather clothing available ,BASELINE
1,External Deck Structure,1,External Deck Structure,20,Designated Restricted as clearly marked,BASELINE
1,External Deck Structure,1,External Deck Structure,21,All openings through which a person could fall properly fenced,BASELINE
1,External Deck Structure,1,External Deck Structure,22,"If portable ladders in use, they are properly secured and at a safe angle",BASELINE
1,External Deck Structure,1,External Deck Structure,23,All hand tools for deck use in good condition,BASELINE
1,External Deck Structure,1,External Deck Structure,24,"All pneumatic scaling tools and air hoses in good condition and being correctly maintained.
Ensure that the tools are not modified. ",BASELINE
1,External Deck Structure,1,External Deck Structure,25,"Oil spill equipment in place and correct, inventory maintained ",BASELINE
1,External Deck Structure,1,External Deck Structure,26,Supervision of the deck work adequate,BASELINE
2,Accommodation,1,Accommodation,1,Stairway and alleyway lighting in full working order,BASELINE
2,Accommodation,1,Accommodation,2,Handrails in the stairwells secured,BASELINE
2,Accommodation,1,Accommodation,3,"Housekeeping satisfactory, particularly in trunk ways and lockers",BASELINE
2,Accommodation,1,Accommodation,4,Any from damaged flooring covering which may constitute a tripping hazard,BASELINE
2,Accommodation,1,Accommodation,5,Fire doors with self-closing devices operate correctly,BASELINE
2,Accommodation,1,Accommodation,6,Cabin and other non-fire doors have a safe mechanism for latching open in a seaway,BASELINE
2,Accommodation,1,Accommodation,7,Ashtrays of the safety type only ,BASELINE
2,Accommodation,1,Accommodation,8,Smoking notices posted correctly and smoking regulations followed,BASELINE
2,Accommodation,1,Accommodation,9,All LSA/FFA equipment readily available and accessible ,BASELINE
2,Accommodation,1,Accommodation,10,All exit routes clearly marked,BASELINE
2,Accommodation,1,Accommodation,11,Muster Lists properly displayed ,BASELINE
2,Accommodation,1,Accommodation,12,SOLAS Training Manual and Fire & Safety Booklet available and up to date,BASELINE
2,Accommodation,1,Accommodation,13,Stowaway search carried out before departure,BASELINE
2,Accommodation,1,Accommodation,14,Anti-piracy precautions in place,BASELINE
2,Accommodation,1,Accommodation,15,Only one entrance used in port and all other doors kept shut,BASELINE
